"","Date","Period","ID1","ID2"
"413","7/3/21","3","MN28","MN12"
"414","7/3/21","3","MN18","MN12"
"415","7/3/21","3","MN13A","MN13B"
"416","7/3/21","3","MN71","MN54"
"417","7/3/21","3","MN29","MN40"
"418","7/3/21","3","MN44","MN41"
"419","7/3/21","3","MN21","MN20"
"420","7/3/21","3","MN69","MN22"
"421","7/3/21","3","MN69","MN70"
"422","7/3/21","3","MN22","MN70"
"423","7/3/21","3","MN7","MN16"
"424","7/3/21","3","MN46","MN48"
"425","7/3/21","3","MN46","MN55"
"426","7/3/21","3","MN46","MN31"
"427","7/3/21","3","MN48","MN55"
"428","7/3/21","3","MN48","MN31"
"429","7/3/21","3","MN55","MN31"
"430","7/3/21","3","MN45","MN19"
"431","7/3/21","3","MN45","MN14"
"432","7/3/21","3","MN45","MN23"
"433","7/3/21","3","MN45","MN1"
"434","7/3/21","3","MN45","MN76"
"435","7/3/21","3","MN45","MN2"
"436","7/3/21","3","MN19","MN14"
"437","7/3/21","3","MN19","MN23"
"438","7/3/21","3","MN19","MN1"
"439","7/3/21","3","MN19","MN76"
"440","7/3/21","3","MN19","MN2"
"441","7/3/21","3","MN14","MN23"
"442","7/3/21","3","MN14","MN1"
"443","7/3/21","3","MN14","MN76"
"444","7/3/21","3","MN14","MN2"
"445","7/3/21","3","MN23","MN1"
"446","7/3/21","3","MN23","MN76"
"447","7/3/21","3","MN23","MN2"
"448","7/3/21","3","MN1","MN76"
"449","7/3/21","3","MN1","MN2"
"450","7/3/21","3","MN76","MN2"
"451","7/4/21","3","MN17","MN28"
"452","7/4/21","3","MN17","MN12"
"453","7/4/21","3","MN28","MN12"
"454","7/4/21","3","MN13B","MN13A"
"455","7/4/21","3","MN54","MN71"
"456","7/4/21","3","MN29","MN40"
"457","7/4/21","3","MN41","MN44"
"458","7/4/21","3","MN21","MN20"
"459","7/4/21","3","MN69","MN22"
"460","7/4/21","3","MN69","MN70"
"461","7/4/21","3","MN22","MN70"
"462","7/4/21","3","MN31","MN55"
"463","7/4/21","3","MN31","MN48"
"464","7/4/21","3","MN55","MN48"
"465","7/5/21","3","MN28","MN17"
"466","7/5/21","3","MN28","MN12"
"467","7/5/21","3","MN17","MN12"
"468","7/5/21","3","MN54","MN71"
"469","7/5/21","3","MN29","MN40"
"470","7/5/21","3","MN41","MN44"
"471","7/5/21","3","MN20","MN21"
"472","7/5/21","3","MN31","MN55"
"473","7/5/21","3","MN31","MN48"
"474","7/5/21","3","MN55","MN48"
"475","7/5/21","3","MN26","MN16"
"476","7/5/21","3","MN26","MN2"
"477","7/5/21","3","MN16","MN2"
"478","7/5/21","3","MN67","MN13B"
"479","7/6/21","3","MN28","MN17"
"480","7/6/21","3","MN13B","MN13A"
"481","7/6/21","3","MN40","MN29"
"482","7/6/21","3","MN44","MN41"
"483","7/6/21","3","MN21","MN20"
"484","7/6/21","3","MN31","MN55"
"485","7/6/21","3","MN15","MN60"
"486","7/6/21","3","MN76","MN16"
"487","7/6/21","3","MN76","MN26"
"488","7/6/21","3","MN76","MN2"
"489","7/6/21","3","MN16","MN26"
"490","7/6/21","3","MN16","MN2"
"491","7/6/21","3","MN26","MN2"
"492","7/7/21","3","MN17","MN12"
"493","7/7/21","3","MN17","MN28"
"494","7/7/21","3","MN12","MN28"
"495","7/7/21","3","MN13B","MN13A"
"496","7/7/21","3","MN54","MN71"
"497","7/7/21","3","MN40","MN29"
"498","7/7/21","3","MN41","MN44"
"499","7/7/21","3","MN20","MN21"
"500","7/7/21","3","MN70","MN69"
"501","7/7/21","3","MN70","MN22"
"502","7/7/21","3","MN69","MN22"
"503","7/7/21","3","MN55","MN31"
"504","7/7/21","3","MN26","MN16"
"505","7/7/21","3","MN1","MN13B"
"506","7/8/21","3","MN12","MN28"
"507","7/8/21","3","MN13B","MN13A"
"508","7/8/21","3","MN71","MN54"
"509","7/8/21","3","MN41","MN44"
"510","7/8/21","3","MN14","MN16"
"511","7/8/21","3","MN20","MN21"
"512","7/8/21","3","MN70","MN69"
"513","7/8/21","3","MN70","MN22"
"514","7/8/21","3","MN69","MN22"
"515","7/9/21","3","MN28","MN12"
"516","7/9/21","3","MN13A","MN13B"
"517","7/9/21","3","MN71","MN54"
"518","7/9/21","3","MN29","MN40"
"519","7/9/21","3","MN44","MN41"
"520","7/9/21","3","MN70","MN69"
"521","7/9/21","3","MN70","MN22"
"522","7/9/21","3","MN69","MN22"
"523","7/9/21","3","MN14","MN67"
"524","7/9/21","3","MN76","MN45"
"525","7/9/21","3","MN55","MN31"
